universe,symbol,name,market,source,as_of
NASDAQ100,LRCX,Lam Research,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,LIN,Linde plc,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,LITE,Lumentum,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,MAR,Marriott International,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,MRVL,Marvell Technology,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,MELI,Mercado Libre,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,META,Meta Platforms,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,MCHP,Microchip Technology,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,MU,Micron Technology,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,MSFT,Microsoft,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,MSTR,MicroStrategy,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,MDLZ,Mondelez International,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,MPWR,Monolithic Power Systems,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,MNST,Monster Beverage,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,NFLX,"Netflix, Inc.",NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,NVDA,Nvidia,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,NXPI,NXP Semiconductors,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
