universe,symbol,name,market,source,as_of
KOSPI200,047040.KS,대우건설,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,005830.KS,DB손해보험,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,003490.KS,대한항공,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,352820.KS,하이브,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,000880.KS,한화,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,161390.KS,한국타이어앤테크놀로지,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,003230.KS,삼양식품,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,001440.KS,대한전선,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,180640.KS,한진칼,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,034220.KS,LG디스플레이,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,326030.KS,SK바이오팜,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,078930.KS,GS,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,062040.KS,산일전기,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,009830.KS,한화솔루션,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,032640.KS,LG유플러스,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,021240.KS,코웨이,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,090430.KS,아모레퍼시픽,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,241560.KS,두산밥캣,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,000100.KS,유한양행,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,128940.KS,한미약품,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,377300.KS,카카오페이,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,036570.KS,NC,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,011790.KS,SKC,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,004170.KS,신세계,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,066970.KS,엘앤에프,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,010060.KS,OCI홀딩스,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,138930.KS,BNK금융지주,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,029780.KS,삼성카드,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,001040.KS,CJ,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,271560.KS,오리온,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,004020.KS,현대제철,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,052690.KS,한전기술,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,018880.KS,한온시스템,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,002380.KS,KCC,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,022100.KS,포스코DX,KOSPI,Naver Finance KPI200,2026-06-04
