universe,symbol,name,market,source,as_of
KOSDAQ150,086900.KQ,Medy-Tox,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,087010.KQ,Peptron,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,089030.KQ,Techwing,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,095340.KQ,ISC,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,095610.KQ,Tes,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,096530.KQ,Seegene,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,095660.KQ,Neowiz Games,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,098460.KQ,Koh Young Tech,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,101490.KQ,S&S Tech,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,101730.KQ,Wemade Max,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,108860.KQ,Selvas AI,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,112040.KQ,WeMade Entertainment,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,121600.KQ,Advanced Nano Products,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,122870.KQ,YG Entertainment,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,131290.KQ,TSE,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,131970.KQ,Doosan Tesna,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,137400.KQ,People & Tech,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,140860.KQ,Park Systems,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,141080.KQ,LigaChem Biosciences,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,145020.KQ,Hugel,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,194480.KQ,Devsisters,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,196170.KQ,Alteogen,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,200130.KQ,KolmarBNH,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,213420.KQ,Duk San Neolux,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,214150.KQ,Classys Inc,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,214370.KQ,Caregen,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,214430.KQ,i3system,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,214450.KQ,Pharma Reaserch Products,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,215000.KQ,Golfzon,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,215200.KQ,Mega Study Edu,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,218410.KQ,RFHIC,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,222080.KQ,Creative & Innovative System,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,222800.KQ,Simmtech,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,225570.KQ,Nexon Games,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,232140.KQ,YC Corp,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,240810.KQ,Wonik IPS,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,237690.KQ,ST Pharm,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,032820.KQ,Woori Tech,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,189300.KQ,Intellian Tech,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,241710.KQ,Cosmecca Korea,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,178320.KQ,Seojin System,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
